condition,time_ms,mean_H
B,8352.400390625,1.0012037754058838
B,8352.5,1.0012037754058838
B,8352.6005859375,1.0012037754058838
B,8352.7001953125,1.0012037754058838
B,8352.7998046875,1.0012037754058838
B,8352.900390625,1.0012037754058838
B,8353.0,1.0012037754058838
B,8353.1005859375,1.0012037754058838
B,8353.2001953125,1.0012037754058838
B,8353.2998046875,1.0012037754058838
B,8353.400390625,1.0012037754058838
B,8353.5,1.0012037754058838
B,8353.6005859375,1.0012037754058838
B,8353.7001953125,1.0012037754058838
B,8353.7998046875,1.0012037754058838
B,8353.900390625,1.0012037754058838
B,8354.0,1.0012037754058838
B,8354.1005859375,1.0012037754058838
B,8354.2001953125,1.0012037754058838
B,8354.2998046875,1.0012037754058838
B,8354.400390625,1.0012037754058838
B,8354.5,1.0012037754058838
B,8354.6005859375,1.0012037754058838
B,8354.7001953125,1.0012037754058838
B,8354.7998046875,1.0012037754058838
B,8354.900390625,1.0012037754058838
B,8355.0,1.0012037754058838
B,8355.1005859375,1.0012037754058838
B,8355.2001953125,1.0012037754058838
B,8355.2998046875,1.0012037754058838
B,8355.400390625,1.0012037754058838
B,8355.5,1.0012037754058838
B,8355.6005859375,1.0012037754058838
B,8355.7001953125,1.0012037754058838
B,8355.7998046875,1.0012037754058838
B,8355.900390625,1.0012037754058838
B,8356.0,1.0012037754058838
B,8356.1005859375,1.0012037754058838
B,8356.2001953125,1.0012037754058838
B,8356.2998046875,1.0012037754058838
B,8356.400390625,1.0012037754058838
B,8356.5,1.0012037754058838
B,8356.6005859375,1.0012037754058838
B,8356.7001953125,1.0012037754058838
B,8356.7998046875,1.0012037754058838
B,8356.900390625,1.0012037754058838
B,8357.0,1.0012037754058838
B,8357.1005859375,1.0012037754058838
B,8357.2001953125,1.0012037754058838
B,8357.2998046875,1.0012037754058838
B,8357.400390625,1.0012037754058838
B,8357.5,1.0012037754058838
B,8357.6005859375,1.0012037754058838
B,8357.7001953125,1.0012037754058838
B,8357.7998046875,1.0012037754058838
B,8357.900390625,1.0012037754058838
B,8358.0,1.0012037754058838
B,8358.1005859375,1.0012037754058838
B,8358.2001953125,1.0012037754058838
B,8358.2998046875,1.0012037754058838
B,8358.400390625,1.0012037754058838
B,8358.5,1.0012037754058838
B,8358.6005859375,1.0012037754058838
B,8358.7001953125,1.0012037754058838
B,8358.7998046875,1.0012037754058838
B,8358.900390625,1.0012037754058838
B,8359.0,1.0012037754058838
B,8359.1005859375,1.0012037754058838
B,8359.2001953125,1.0012037754058838
B,8359.2998046875,1.0012037754058838
B,8359.400390625,1.0012037754058838
B,8359.5,1.0012037754058838
B,8359.6005859375,1.0012037754058838
B,8359.7001953125,1.0012037754058838
B,8359.7998046875,1.0012037754058838
B,8359.900390625,1.0012037754058838
B,8360.0,1.0012037754058838
B,8360.1005859375,1.0012037754058838
B,8360.2001953125,1.0012037754058838
B,8360.2998046875,1.0012037754058838
B,8360.400390625,1.0012037754058838
B,8360.5,1.0012037754058838
B,8360.6005859375,1.0012037754058838
B,8360.7001953125,1.0012037754058838
B,8360.7998046875,1.0012037754058838
B,8360.900390625,1.0012037754058838
B,8361.0,1.0012037754058838
B,8361.1005859375,1.0012037754058838
B,8361.2001953125,1.0012037754058838
B,8361.2998046875,1.0012037754058838
B,8361.400390625,1.0012037754058838
B,8361.5,1.0012037754058838
B,8361.6005859375,1.0012037754058838
B,8361.7001953125,1.0012037754058838
B,8361.7998046875,1.0012037754058838
B,8361.900390625,1.0012037754058838
B,8362.0,1.0012037754058838
B,8362.1005859375,1.0012037754058838
